id,origin,code
253647117,Native,PR
253647972,Native,PR
253648235,Native,PR
254095929,Native,IND-MR
254095929,Native,IN
254178918,Native,KR
254245232,Native,HT
254316326,Native,NI
254316326,Native,CNY-OO
254316326,Native,AI
254316326,Native,VI
254316326,Native,VG
254316326,Native,AG
254316326,Native,DM
254316326,Native,CV
254316326,Native,BR
254316326,Native,TT
254316326,Native,AW
254316326,Native,ES
254316326,Native,SH
254316326,Native,LC
254316326,Native,VE
254316326,Native,US
254316326,Native,HT
254316326,Native,KY
254316326,Native,BS
254316326,Native,BM
254316326,Native,SX
254316326,Native,NLA-SA
254316326,Native,KN
254316326,Native,BL
254316326,Native,BQ
254316326,Native,PR
254316326,Native,MS
254316326,Native,TC
254316326,Native,CW
254316326,Native,GD
254316326,Native,CO
254316326,Native,PA
254316326,Native,CU
254316326,Native,MQ
254316326,Native,VC
254316326,Native,MF
254316326,Native,MX
254316326,Native,JM
254316326,Native,NLA-BO
254316326,Native,BZ
254316326,Native,CR
254316326,Native,GT
254316326,Native,HN
254316326,Native,GP
254316326,Native,DO
254316326,Native,ASC-OO
254316326,Native,BB
254316326,Native,NLA-SE
254475508,Native,IND-GU
254475508,Native,IN
254561032,Native,PF
254561232,Native,PF
254579769,Native,PF
254580373,Native,PF
254580566,Native,PF
254598349,Native,MXS-OA
254598349,Native,MX
254598540,Native,GT
254616177,Native,VIC-OO
254616177,Native,WAU-WA
254616177,Native,SOA-OO
254616177,Native,AU
254645299,Native,GRC-OO
254645299,Native,AL
254645299,Native,GR
254721352,Native,PH
254964078,Native,FR
254964078,Native,BR
254964078,Native,PT
254964078,Native,MDR-OO
254964078,Native,VI
254964078,Native,IN
254964078,Native,LK
254964078,Native,AND-AN
254964078,Native,MZ
254964078,Native,MG
254964078,Native,ID
254964078,Native,ES
254964078,Native,TW
254964078,Native,CNY-OO
254964078,Native,ZA
254964078,Native,GB
254964078,Native,EH
254964078,Native,PR
254964078,Native,SC
254964078,Native,US
254964078,Native,JP
254964078,Native,MV
254964078,Native,PG
254964078,Native,AU
254964078,Native,AI
254964078,Native,AG
254964078,Native,AW
254964078,Native,BS
254964078,Native,BZ
254964078,Native,CR
254964078,Native,CN
254964078,Native,BB
254964078,Native,BJ
254964078,Native,CI
254964078,Native,KY
254964078,Native,CU
254964078,Native,VG
254964078,Native,CO
254964078,Native,CM
254964078,Native,GF
254964078,Native,GT
254964078,Native,CW
254964078,Native,DM
254964078,Native,DO
254964078,Native,GD
254964078,Native,GM
254964078,Native,GP
254964078,Native,GY
254964078,Native,GQ
254964078,Native,GA
254964078,Native,GH
254964078,Native,HN
254964078,Native,MX
254964078,Native,HT
254964078,Native,JM
254964078,Native,MR
254964078,Native,MU
254964078,Native,YT
254964078,Native,MM
254964078,Native,NI
254964078,Native,PA
254964078,Native,MA
254964078,Native,MS
254964078,Native,KN
254964078,Native,LC
254964078,Native,NG
254964078,Native,ST
254964078,Native,NA
254964078,Native,TT
254964078,Native,SR
254964078,Native,VE
254964078,Native,TH
254964078,Native,SN
254964078,Native,SO
254964078,Native,TG
254964078,Native,MQ
254964078,Native,PH
254964078,Native,AO
254971919,Native,ES
254971919,Native,AO
254971919,Native,CNY-OO
254971919,Native,MA
254971919,Native,CI
254971919,Native,GQ
254971919,Native,GH
254971919,Native,MG
254971919,Native,MZ
254971919,Native,SN
254971919,Native,TG
254971919,Native,BJ
254971919,Native,CM
254971919,Native,CG
254971919,Native,CD
254971919,Native,GA
254971919,Native,GM
254971919,Native,EH
254971919,Native,GN
254971919,Native,GW
254971919,Native,LR
254971919,Native,MR
254971919,Native,NG
254971919,Native,SL
254975849,Native,PT
254975849,Native,IS
254975849,Native,FO
254975849,Native,IE
254975849,Native,AZO-OO
254975849,Native,MDR-OO
254975849,Native,ES
254975849,Native,CNY-OO
254975849,Native,GB
254975849,Native,MA
254975849,Native,MR
254975849,Native,JP
254975849,Native,NZ
254975849,Origin Uncertain,LK
254975849,Native,ID
254975849,Native,NSW-NS
254975849,Native,VE
254975849,Native,AU
254975849,Native,PH
254975849,Native,ZA
254975849,Native,GA
254975849,Native,SN
254975849,Native,NA
254975849,Native,FR
254975849,Origin Uncertain,BR
254975849,Native,MV
254975849,Native,AO
254975849,Native,BE
254975849,Native,DK
254975849,Native,IN
254975849,Native,DE
254975849,Native,GI
254975849,Native,CL
254975849,Native,GAL-OO
254975849,Native,NL
254975849,Native,NO
254975849,Native,SE
254975849,Native,EH
254975849,Native,MU
254975849,Native,TW
254975849,Native,BS
254975849,Native,US
254975849,Native,EC
254988584,Native,HR
254988584,Native,AL
254988584,Native,PR
254988584,Native,CY
254988584,Native,FR
254988584,Native,GI
254988584,Native,MZ
254988584,Native,ES
254988584,Native,VE
254988584,Native,CU
254988584,Native,GR
254988584,Native,IT
254988584,Native,HN
254988584,Native,SN
254988584,Native,GD
254988584,Native,IL
254988584,Native,PA
254988584,Native,PT
254988584,Native,TT
254988584,Native,BB
254988584,Native,LC
254988584,Native,LK
254988584,Native,GT
254988584,Native,AI
254988584,Native,CM
254988584,Native,MT
254988584,Native,GF
254988584,Native,ZA
254988584,Native,GM
254988584,Native,LY
254988584,Native,EH
254988584,Native,TN
254988584,Native,CNY-OO
254988584,Native,CR
254988584,Native,GY
254988584,Native,TR
254988584,Native,GQ
254988584,Native,CW
254988584,Native,DM
254988584,Native,MC
254988584,Native,MA
254988584,Native,CI
254988584,Native,GH
254988584,Native,KY
254988584,Native,IN
254988584,Native,US
254988584,Native,DZ
254988584,Native,MX
254988584,Native,NI
254988584,Native,VI
254988584,Native,AO
254988584,Native,DO
254988584,Native,JM
254988584,Native,HT
254988584,Native,PS
254988584,Native,MG
254988584,Native,SY
254988584,Native,NA
254988584,Native,MQ
254988584,Native,KN
254988584,Native,VG
254988584,Native,VC
254988584,Native,GP
254988584,Native,AG
254988584,Native,AW
254988584,Native,LB
254988584,Native,MS
254988584,Native,TW
254988584,Native,GA
254988584,Native,ME
254988584,Native,MDR-OO
254988584,Native,AU
254988584,Native,NG
254988584,Native,JP
254988584,Native,CO
254988584,Native,YT
254988584,Native,BZ
254988584,Native,NO
254988584,Native,BA
254988584,Native,BJ
254988584,Native,CV
254988584,Native,CG
254988584,Native,CD
254988584,Native,EG
254988584,Native,KM
254988584,Native,IE
254988584,Native,MM
254988584,Native,GB
254988584,Native,TG
254988584,Native,BS
255846397,Native,MZ
255846397,Native,TZ
255900486,Native,CL
257823005,Native,PE
257845000,Native,PE
257845131,Native,PE
257845287,Native,PE
257845341,Native,PE
257845429,Native,PE
258522418,Native,PE
258522478,Native,PE
258522603,Native,PE
258842200,Native,KP
258842200,Native,KR
259049166,Native,PH
259049166,Native,PG
259049166,Native,ID
259049166,Native,TW
259144585,Native,AGW-TU
259144585,Native,AR
259146522,Native,VEN-OO
259146522,Native,VE
259146805,Native,GT
259357017,Native,BT
259357017,Native,IN
259357017,Native,ASS-AS
260476217,Native,PH
261786289,Native,BO
261786289,Native,AR
261786289,Native,PE
261786289,Native,CL
262327449,Native,ID
262327449,Native,MY
262327449,Native,BOR-SR
262327449,Native,BOR-KA
262327449,Native,BOR-SB
262419450,Native,CO
262419450,Native,PA
262957892,Native,NC
262959329,Native,NC
262960120,Native,NC
262960264,Native,NC
265025353,Native,CM
265025353,Native,GA
265145821,Native,KZ
265152365,Native,BR
265910663,Native,BR
265985821,Native,NI
265985821,Native,CR
266877470,Native,IND-GU
266877470,Native,IND-MR
266877470,Native,IN
267274929,Native,MV
267274929,Native,LK
267274929,Native,CN
267274929,Native,ID
267274929,Native,PH
267274929,Native,TW
267274929,Native,SC
267274929,Native,OM
267275997,Native,PH
267275997,Native,PG
267275997,Native,ID
267275997,Native,TW
